기록자 정보,,,,,,,,지하철 현황,,탑승자 정보,,,,,,,,,
날짜,기록 시간,기록자,호선,탑승역,하차역,지나온 역 수,시간,붐빔 정도,노약자석 빈자리 여부,성별,비어있었던 역 수,연령대,뱃지 여부,임산부 여부,무거운 짐 여부,행동,기타 특이사항,짐 종류,
07/31,19:10,재민,5,공덕,여의도,3,6,N,,여,,중년,X,X,O,"이어폰, 핸드폰",,"쇼핑백, 장우산","붐빔 여부 
- F (Full) : 열차 칸에 서있는 사람이 20명 초과인 경우
- N (Normal) : 좌석이 꽉차고 열차 칸에 서있는 사람이 20명 이하인 경우
- E (Empty) : 남은 좌석이 있는 경우

연령대
- ~13살: 어린이
- 14~19살: 청소년
- 20, 30대: 청년
- 65세 이전 : 중년
- 65세 이후 : 노년


일단 짐은 전부다 적고, 단비는 무신사를 기준으로 짐 분류를 좀 하세요
비어있는 구간은 한 행으로 추가해서 할 것( 재민님 행 확인 )


지하철 호선 드롭다운 목록 추가(1~9, 10, 11)

함수 추가
1. 만약 성별이 남자라면 임산부배지 항목 자동으로 X, 여자일 경우는 OX 추가 입력
2. 만약 임산부배지 항목에서 X를 선택했다면 임산부여부는 자동으로 X
 ** 만약 임산부 배지 X인데 임산부여부가 O일 경우에는 임산부여부를 수동으로 고쳐줘야 합니다.(지금까지의 데이터는 변동 없이 반영되어있음. 이후 데이터 쌓을 때만 유의하면 됩니다.)"
07/31,19:21,재민,9,여의도,신논현,10,20,F,,여,,중년,X,X,X,핸드폰,임산부석 비워달라는 방송이 나왔으나 아랑곳하지 않음,,
07/31,19:28,재민,9,여의도,신논현,10,,F,,여,,청년,X,X,X,핸드폰,,,
07/31,19:32,재민,9,여의도,신논현,10,,F,,여,,청년,X,O,X,핸드폰,,,
07/31,22:38,재민,10,선정릉,야탑,12,24,F,,여,,청년,O,O,X,"핸드폰, 대화",,,
07/31,22:42,재민,10,선정릉,야탑,12,,F,,남,,중년,X,X,X,핸드폰,,,
07/31,18:30,보민,6,공덕,화랑대,20,40,N,,여,,중년,X,X,X,,옆자리가 나자 옮겨앉음,,
07/31,18:30,보민,6,공덕,화랑대,20,,N,,여,,청년,X,X,X,핸드폰,,,
07/31,18:30,보민,6,공덕,화랑대,20,,N,,여,,중년,X,X,X,핸드폰,,,
07/31,18:30,보민,6,공덕,화랑대,20,,N,,여,,중년,X,X,X,,금방 내림,,
07/31,18:30,보민,6,공덕,화랑대,20,,N,,남,,노년,X,X,X,,두자리에 걸터앉음. 지팡이,,
07/31,18:47,단비,5,공덕,신길,4,8,F,,여,,청년,X,X,X,"이어폰, 핸드폰",,크로스백 작은거,
07/31,18:47,단비,5,공덕,신길,4,,F,,여,,중년,X,X,O,"이어폰, 잠",,보스턴 백,
07/31,19:05,단비,1,신길,온수,7,14,N,X,여,,중년,X,X,O,멍,,보스턴 백,
07/31,19:05,단비,1,신길,온수,7,,N,X,남,,청년,X,X,X,"이어폰, 핸드폰",,클러치,
07/31,19:15,단비,1,신길,온수,7,,N,X,남,,노년,X,X,X,멍,,"크로스백, 종이가방 (파리바게트 (소) 크기",
07/31,19:19,단비,1,개봉,온수,2,,N,X,비었음,2,,,,,,,,
07/31,19:27,단비,7,온수,신중동,4,8,F,X,여,,청년,X,X,X,"이어폰, 핸드폰",,크로스백,
07/31,19:27,단비,7,온수,신중동,4,,F,X,여,,청년,X,X,O,핸드폰 게임,,에코백,
08/01,13:27,한솔,2,신림,신도림,4,8,E,O,여,,중년,X,X,X,이어폰,일반석이 비어있음에도 불구하고 임산부석 착석,,
08/01,13:27,한솔,2,신림,신도림,4,,E,O,여,,청년,O,O,X,핸드폰,,,
08/01,13:43,한솔,1,신도림,병점,17,34,F,X,남,,노년,X,X,X,X,정신지체장애가 있는듯했음,,
08/01,13:43,한솔,1,신도림,병점,17,,F,X,여,,청년,X,O,X,핸드폰,,,
08/01,11:20,재민,10,야탑,강남구청,13,26,F,X,여,,중년,X,X,X,멍,,"양산, 큰 비닐봉지",
08/01,11:20,재민,10,야탑,강남구청,13,,F,X,여,,청년,X,X,X,잠,,,
08/01,11:30,재민,10,야탑,강남구청,13,,F,X,여,,어린이,X,X,X,멍,,,
08/01,11:44,재민,10,야탑,강남구청,13,,F,X,여,,중년,X,X,X,대화,4인가족 나란히 앉음,,
08/01,11:53,재민,7,강남구청,중계,16,32,F,X,여,,중년,X,X,O,핸드폰,,큰 쇼핑백,
08/01,11:53,재민,7,강남구청,중계,16,,F,X,여,,중년,X,X,X,핸드폰,일반석이 빌 때마다 옮기려는 움직임,,
08/01,12:01,재민,7,강남구청,중계,16,,F,X,남,,노년,X,X,X,멍,,,
08/01,12:10,재민,7,용마산,사가정,1,2,F,X,비었음,1,,,,,,,,
08/01,12:11,재민,7,강남구청,중계,16,,F,X,여,,중년,X,X,X,대화,,,
08/01,12:16,재민,7,상봉,중계,6,,N,X,비었음,6,,,,,,,,
08/01,12:21,재민,7,태릉입구,중계,3,,N,X,비었음,3,,,,,,,,
08/01,21:50,재민,7,태릉입구,강남구청,13,,E,O,여,,청년,X,X,X,핸드폰,외국인,,
08/01,21:50,재민,7,태릉입구,면목,4,,E,O,비었음,4,,,,,,,,
08/01,21:59,재민,7,태릉입구,강남구청,13,26,E,O,여,,중년,X,X,X,잠,,,
08/01,12:12,단비,7,신중동,이수,18,36,N,O,남,,노년,X,X,X,잠,우산 하나만 들고 계심,,
08/01,12:12,단비,7,신중동,이수,18,,N,O,여,,청년,X,X,X,잠,,,
08/01,12:31,단비,7,신중동,이수,18,,N,O,여,,중년,X,X,X,핸드폰,,,
08/01,12:42,단비,7,신중동,이수,18,,N,O,여,,청년,X,X,X,화장,,파우치,
08/01,22:51,단비,7,대림,신중동,10,20,F,X,여,,청년,X,X,X,핸드폰,,악기 및 에코백,
08/01,22:51,단비,7,대림,신중동,10,,F,X,여,,중년,X,X,X,잠,,크로스백,
08/01,23:02,단비,7,대림,신중동,10,,F,X,남,,청년,X,X,X,잠,,백팩,
08/02,8:29,한솔,1,병점,신길,19,38,N,O,남,,노년,X,X,X,X,,,
08/02,8:29,한솔,1,병점,신길,19,,N,O,남,,청년,X,X,X,X,외국인,,
08/02,8:47,한솔,1,병점,신길,19,,N,O,여,,청년,X,X,X,핸드폰,,,
08/02,8:59,한솔,1,병점,신길,19,,F,X,여,,청년,X,X,X,핸드폰,,,
08/02,9:03,한솔,1,병점,신길,19,,N,O,여,,청년,X,X,X,아이와 대화,어린이랑 같이 앉음,,
08/02,9:26,한솔,5,신길,공덕,4,8,F,X,여,,중년,X,X,X,잠,,,
08/02,9:26,한솔,5,신길,공덕,4,,F,X,여,,중년,X,X,X,"잠, 이어폰",,,
08/02,8:23,미현,1,수원,영등포,16,32,F,O,여,,노년,X,X,X,잠,심지어 내리실 때 다른 할머니께 자리를 앉으라고 권유,,
08/02,8:23,미현,1,수원,영등포,16,,F,O,여,,노년,X,X,X,핸드폰,,,
08/02,8:50,미현,1,수원,영등포,16,,F,O,남,,중년,X,X,X,핸드폰,,,
08/02,9:01,미현,1,영등포,신길,1,,N,O,남,,청년,X,X,X,잠,,,
08/02,9:01,미현,1,영등포,신길,1,,N,O,여,,노년,X,X,X,잠,,,
08/02,9:11,미현,5,신길,공덕,4,8,F,O,여,,청년,X,X,X,잠,,,
08/02,9:00,보민,6,화랑대,공덕,20,40,N,X,여,,중년,X,X,X,핸드폰,,,
08/02,9:00,보민,6,화랑대,공덕,20,,N,X,여,,청년,X,X,X,잠,,,
08/02,9:00,보민,6,화랑대,공덕,20,,N,X,여,,중년,X,X,X,핸드폰,빈자리였고 앞에 사람이 서있는데도 앉음,,
08/02,9:00,보민,6,화랑대,공덕,20,,N,O,여,,중년,X,X,X,핸드폰,같은 줄에 빈자리가 생겼는데도 계속 앉아있음,,
08/02,8:47,단비,7,신중동,온수,4,8,F,X,여,,청년,X,X,O,공부,,메신저백,
08/02,8:47,단비,7,신중동,온수,4,,F,X,남,,청년,X,X,X,"이어폰, 잠",,힙색,
08/02,9:02,단비,1,온수,신길,7,14,N,O,여,,중년,X,X,O,"이어폰, 핸드폰",,보스턴백,
08/02,9:02,단비,1,온수,신길,7,,N,O,남,,어린이,X,X,X,대화,,X,
08/02,9:02,단비,1,온수,신길,7,,N,O,여,,어린이,X,X,X,대화,,X,
08/02,9:25,단비,5,신길,공덕,4,8,N,X,여,,노년,X,X,X,독서,,"크로스백, 비닐봉지(소)",
08/02,9:25,단비,5,신길,공덕,4,,N,X,여,,중년,X,X,O,핸드폰,,보스턴백,
08/02,8:32,재민,10,야탑,왕십리,16,32,F,X,여,,중년,X,X,X,잠,,,
08/02,8:32,재민,10,야탑,왕십리,16,,F,X,여,,중년,X,X,O,잠,,가방 3개,
