,date,time,line,start,stop,crowdedness,E,N,F,is_old_seat_empty,is_p_seat_empty,p_seat_empty_count,female,male,age,child,teenage,youth,middle_age,old_age,badge,pregnant,heavy,behavior1,behavior2,behavior3,cellphone,thinking,sleep,earphone,talking,calling,reading,makeup,eating,writing
0,2019. 7. 31.,19:10:00,5,공덕,여의도,N,0,1,0,0,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,이어폰,핸드폰,,1,0,0,1,0,0,0,0,0,0
1,2019. 7. 31.,19:21:00,9,여의도,신논현,F,0,0,1,0,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
2,2019. 7. 31.,19:28:00,9,여의도,신논현,F,0,0,1,0,0,,1,0,청년,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
3,2019. 7. 31.,19:32:00,9,여의도,신논현,F,0,0,1,0,0,,1,0,청년,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
4,2019. 7. 31.,22:38:00,10,선정릉,야탑,F,0,0,1,0,0,,1,0,청년,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,핸드폰,대화,,1,0,0,0,1,0,0,0,0,0
5,2019. 7. 31.,22:42:00,10,선정릉,야탑,F,0,0,1,0,0,,0,1,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
6,2019. 7. 31.,18:30:00,6,공덕,화랑대,N,0,1,0,0,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
7,2019. 7. 31.,18:30:00,6,공덕,화랑대,N,0,1,0,0,0,,1,0,청년,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
8,2019. 7. 31.,18:30:00,6,공덕,화랑대,N,0,1,0,0,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
9,2019. 7. 31.,18:30:00,6,공덕,화랑대,N,0,1,0,1,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
10,2019. 7. 31.,18:30:00,6,공덕,화랑대,N,0,1,0,1,0,,0,1,노년,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,멍,,,0,1,0,0,0,0,0,0,0,0
11,2019. 7. 31.,18:47:00,5,공덕,신길,F,0,0,1,0,0,,1,0,청년,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,이어폰,핸드폰,,1,0,0,1,0,0,0,0,0,0
12,2019. 7. 31.,18:47:00,5,공덕,신길,F,0,0,1,1,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,이어폰,잠,,0,0,1,1,0,0,0,0,0,0
13,2019. 7. 31.,19:05:00,1,신길,온수,N,0,1,0,0,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,멍,,,0,1,0,0,0,0,0,0,0,0
14,2019. 7. 31.,19:05:00,1,신길,온수,N,0,1,0,0,0,,0,1,청년,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,이어폰,핸드폰,,1,0,0,1,0,0,0,0,0,0
15,2019. 7. 31.,19:15:00,1,신길,온수,N,0,1,0,0,0,,0,1,노년,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,멍,,,0,1,0,0,0,0,0,0,0,0
16,2019. 7. 31.,19:19:00,1,개봉,온수,N,0,1,0,0,1,2.0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
17,2019. 7. 31.,19:27:00,7,온수,신중동,F,0,0,1,0,0,,1,0,청년,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,이어폰,핸드폰,,1,0,0,1,0,0,0,0,0,0
18,2019. 7. 31.,19:27:00,7,온수,신중동,F,0,0,1,0,0,,1,0,청년,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
19,2019. 8. 1.,13:27:00,2,신림,신도림,E,1,0,0,1,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,이어폰,,,0,0,0,1,0,0,0,0,0,0
20,2019. 8. 1.,13:27:00,2,신림,신도림,E,1,0,0,1,0,,1,0,청년,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
21,2019. 8. 1.,13:43:00,1,신도림,병점,F,0,0,1,0,0,,0,1,노년,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,멍,,,0,1,0,0,0,0,0,0,0,0
22,2019. 8. 1.,13:43:00,1,신도림,병점,F,0,0,1,0,0,,1,0,청년,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
23,2019. 8. 1.,11:20:00,10,야탑,강남구청,F,0,0,1,0,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,멍,,,0,1,0,0,0,0,0,0,0,0
24,2019. 8. 1.,11:20:00,10,야탑,강남구청,F,0,0,1,0,0,,1,0,청년,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,잠,,,0,0,1,0,0,0,0,0,0,0
25,2019. 8. 1.,11:30:00,10,야탑,강남구청,F,0,0,1,0,0,,1,0,어린이,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,멍,,,0,1,0,0,0,0,0,0,0,0
26,2019. 8. 1.,11:44:00,10,야탑,강남구청,F,0,0,1,0,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,대화,,,0,0,0,0,1,0,0,0,0,0
27,2019. 8. 1.,11:53:00,7,강남구청,중계,F,0,0,1,0,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
28,2019. 8. 1.,11:53:00,7,강남구청,중계,F,0,0,1,0,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
29,2019. 8. 1.,12:01:00,7,강남구청,중계,F,0,0,1,0,0,,0,1,노년,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,멍,,,0,1,0,0,0,0,0,0,0,0
30,2019. 8. 1.,12:10:00,7,용마산,사가정,F,0,0,1,0,1,1.0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
31,2019. 8. 1.,12:11:00,7,강남구청,중계,F,0,0,1,0,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,대화,,,0,0,0,0,1,0,0,0,0,0
32,2019. 8. 1.,12:16:00,7,상봉,중계,N,0,1,0,0,1,6.0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
33,2019. 8. 1.,12:21:00,7,태릉입구,중계,N,0,1,0,0,1,3.0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
