날짜,기록 시간,기록자,호선,탑승역,하차역,붐빔 정도,노약자석 빈자리 여부,성별,비어있었던 역 수,연령대,뱃지 여부,임산부 여부,무거운 짐 여부,행동,기타 특이사항,짐 종류
2019. 7. 31,19:10,재민,5호선,공덕,여의도,N,,여,,중년,X,X,X,"이어폰, 핸드폰",,"쇼핑백, 장우산"
2019. 7. 31,19:21,재민,9호선,여의도,신논현,F,,여,,중년,X,X,X,핸드폰,임산부석 비워달라는 방송이 나왔으나 아랑곳하지 않음,
2019. 7. 31,19:28,재민,9호선,여의도,신논현,F,,여,,청년,X,X,X,핸드폰,,
2019. 7. 31,19:32,재민,9호선,여의도,신논현,F,,여,,청년,X,O,X,핸드폰,,
2019. 7. 31,22:38,재민,분당선,선정릉,야탑,F,,여,,청년,O,O,X,"핸드폰, 대화",,
2019. 7. 31,22:42,재민,분당선,선정릉,야탑,F,,남,,중년,X,X,X,핸드폰,,
2019. 7. 31,18:30,보민,6호선,공덕,화랑대,N,,여,,중년,X,X,X,,옆자리가 나자 옮겨앉음,
2019. 7. 31,18:30,보민,6호선,공덕,화랑대,N,,여,,청년,X,X,X,핸드폰,,
2019. 7. 31,18:30,보민,6호선,공덕,화랑대,N,,여,,중년,X,X,X,핸드폰,,
2019. 7. 31,18:30,보민,6호선,공덕,화랑대,N,,여,,중년,X,X,X,,금방 내림,
2019. 7. 31,18:30,보민,6호선,공덕,화랑대,N,,남,,노년,X,X,X,,두자리에 걸터앉음. 지팡이,
2019. 7. 31,18:47,단비,5호선,공덕,신길,F,,여,,청년,X,X,,"이어폰, 핸드폰",,크로스백 작은거
2019. 7. 31,18:47,단비,5호선,공덕,신길,F,,여,,중년,X,X,,"이어폰, 잠",,보스턴 백
2019. 7. 31,19:05,단비,1호선,신길,온수,N,X,여,,중년,X,X,,멍,,보스턴 백
2019. 7. 31,19:05,단비,1호선,신길,온수,N,X,남,,청년,X,X,,"이어폰, 핸드폰",,클러치
2019. 7. 31,19:15,단비,1호선,신길,온수,N,X,남,,노년,X,X,,멍,,"크로스백, 종이가방 (파리바게트 (소) 크기"
2019. 7. 31,19:19,단비,1호선,개봉,온수,N,X,비었음,,,,,,,,
