date,time,line,start,stop,E,N,F,old_age_seat,is_empty,Female,Male,isempty_station,child,teenage,Youth,middle_age,old_age,badge,pregnant,heavy,cellphone,thinking,sleep,earphone,talking,calling,reading,makeup,eating,writing
2019. 7. 31.,19:10:00,5,공덕,여의도,0,1,0,0,0,1,0,,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2019. 7. 31.,19:21:00,9,여의도,신논현,0,0,1,0,0,1,0,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 7. 31.,19:28:00,9,여의도,신논현,0,0,1,0,0,1,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 7. 31.,19:32:00,9,여의도,신논현,0,0,1,0,0,1,0,,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2019. 7. 31.,22:38:00,10,선정릉,야탑,0,0,1,0,0,1,0,,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
2019. 7. 31.,22:42:00,10,선정릉,야탑,0,0,1,0,0,0,1,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 7. 31.,18:30:00,6,공덕,화랑대,0,1,0,0,0,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019. 7. 31.,18:30:00,6,공덕,화랑대,0,1,0,0,0,1,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 7. 31.,18:30:00,6,공덕,화랑대,0,1,0,0,0,1,0,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 7. 31.,18:30:00,6,공덕,화랑대,0,1,0,0,0,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019. 7. 31.,18:30:00,6,공덕,화랑대,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019. 7. 31.,18:47:00,5,공덕,신길,0,0,1,0,0,1,0,,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2019. 7. 31.,18:47:00,5,공덕,신길,0,0,1,0,0,1,0,,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2019. 7. 31.,19:05:00,1,신길,온수,0,1,0,1,0,1,0,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2019. 7. 31.,19:05:00,1,신길,온수,0,1,0,1,0,0,1,,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2019. 7. 31.,19:15:00,1,신길,온수,0,1,0,1,0,0,1,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2019. 7. 31.,19:19:00,1,개봉,온수,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,
2019. 7. 31.,19:27:00,7,온수,신중동,0,0,1,1,0,1,0,,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2019. 7. 31.,19:27:00,7,온수,신중동,0,0,1,1,0,1,0,,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2019. 8. 1.,13:27:00,2,신림,신도림,1,0,0,0,0,1,0,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
