,date,time,name,line,start,stop,crowded,old_age_seat,sex,empty_station,age,badge,pregnant,heavy,behavior,characteristic,bag,empty,sex2,노년,중년,청년,어린이,청소년,crowded2,behavior1,behavior2,behavior3,핸드폰,멍,잠,이어폰,대화,통화,독서,화장,먹기,필기,바람쐬기
0,07월 31일,19:10:00,재민,5호선,공덕,여의도,N,,여,,중년,X,X,X,"이어폰, 핸드폰",,"쇼핑백, 장우산",1,1.0,0,1,0,0,0,1,이어폰,핸드폰,,1,0,0,1,0,0,0,0,0,0,0
1,07월 31일,19:21:00,재민,9호선,여의도,신논현,F,,여,,중년,X,X,X,핸드폰,임산부석 비워달라는 방송이 나왔으나 아랑곳하지 않음,,1,1.0,0,1,0,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
2,07월 31일,19:28:00,재민,9호선,여의도,신논현,F,,여,,청년,X,X,X,핸드폰,,,1,1.0,0,0,1,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
3,07월 31일,19:32:00,재민,9호선,여의도,신논현,F,,여,,청년,X,O,X,핸드폰,,,1,1.0,0,0,1,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
4,07월 31일,22:38:00,재민,분당선,선정릉,야탑,F,,여,,청년,O,O,X,"핸드폰, 대화",,,1,1.0,0,0,1,0,0,2,핸드폰,대화,,1,0,0,0,1,0,0,0,0,0,0
5,07월 31일,22:42:00,재민,분당선,선정릉,야탑,F,,남,,중년,X,X,X,핸드폰,,,1,0.0,0,1,0,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
6,07월 31일,18:30:00,보민,6호선,공덕,화랑대,N,,여,,중년,X,X,X,,옆자리가 나자 옮겨앉음,,1,1.0,0,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
7,07월 31일,18:30:00,보민,6호선,공덕,화랑대,N,,여,,청년,X,X,X,핸드폰,,,1,1.0,0,0,1,0,0,1,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
8,07월 31일,18:30:00,보민,6호선,공덕,화랑대,N,,여,,중년,X,X,X,핸드폰,,,1,1.0,0,1,0,0,0,1,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
9,07월 31일,18:30:00,보민,6호선,공덕,화랑대,N,,여,,중년,X,X,X,,금방 내림,,1,1.0,0,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
10,07월 31일,18:30:00,보민,6호선,공덕,화랑대,N,,남,,노년,X,X,X,,두자리에 걸터앉음. 지팡이,,1,0.0,1,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
11,07월 31일,18:47:00,단비,5호선,공덕,신길,F,,여,,청년,X,X,,"이어폰, 핸드폰",,크로스백 작은거,1,1.0,0,0,1,0,0,2,이어폰,핸드폰,,1,0,0,1,0,0,0,0,0,0,0
12,07월 31일,18:47:00,단비,5호선,공덕,신길,F,,여,,중년,X,X,,"이어폰, 잠",,보스턴 백,1,1.0,0,1,0,0,0,2,이어폰,잠,,0,0,1,1,0,0,0,0,0,0,0
13,07월 31일,19:05:00,단비,1호선,신길,온수,N,X,여,,중년,X,X,,멍,,보스턴 백,1,1.0,0,1,0,0,0,1,멍,,,0,1,0,0,0,0,0,0,0,0,0
14,07월 31일,19:05:00,단비,1호선,신길,온수,N,X,남,,청년,X,X,,"이어폰, 핸드폰",,클러치,1,0.0,0,0,1,0,0,1,이어폰,핸드폰,,1,0,0,1,0,0,0,0,0,0,0
15,07월 31일,19:15:00,단비,1호선,신길,온수,N,X,남,,노년,X,X,,멍,,"크로스백, 종이가방 (파리바게트 (소) 크기",1,0.0,1,0,0,0,0,1,멍,,,0,1,0,0,0,0,0,0,0,0,0
16,07월 31일,19:19:00,단비,1호선,개봉,온수,N,X,비었음,,,,,,,,,0,,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0
17,07월 31일,19:27:00,단비,7호선,온수,신중동,F,X,여,,청년,X,X,,"이어폰, 핸드폰",,크로스백,1,1.0,0,0,1,0,0,2,이어폰,핸드폰,,1,0,0,1,0,0,0,0,0,0,0
18,07월 31일,19:27:00,단비,7호선,온수,신중동,F,X,여,,청년,X,X,,핸드폰,,에코백,1,1.0,0,0,1,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
19,08월 01일,13:27:00,한솔,2호선,신림,신도림,E,O,여,,중년,X,X,X,이어폰,일반석이 비어있음에도 불구하고 임산부석 착석,,1,1.0,0,1,0,0,0,0,이어폰,,,0,0,0,1,0,0,0,0,0,0,0
20,08월 01일,13:27:00,한솔,2호선,신림,신도림,E,O,여,,청년,O,O,X,핸드폰,,,1,1.0,0,0,1,0,0,0,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
21,08월 01일,13:43:00,한솔,1호선,신도림,병점,F,X,남,,노년,X,X,X,멍,정신지체장애가 있는듯했음,,1,0.0,1,0,0,0,0,2,멍,,,0,1,0,0,0,0,0,0,0,0,0
22,08월 01일,13:43:00,한솔,1호선,신도림,병점,F,X,여,,청년,X,O,X,핸드폰,,,1,1.0,0,0,1,0,0,2,핸드폰,,,1,0,0,0,0,0,0,0,0,0,0
23,08월 01일,11:20:00,재민,분당선,야탑,강남구청,F,X,여,,중년,X,X,X,멍,,"양산, 큰 비닐봉지",1,1.0,0,1,0,0,0,2,멍,,,0,1,0,0,0,0,0,0,0,0,0
